"REF_DATE","GEO","DGUID","Seasonal adjustment","Prices","North American Industry Classification System (NAICS)","Release","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2111889","","","","0"
"2020-02","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2116239","","","","0"
"2020-03","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","1956667","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","1747909","","","","0"
"2020-05","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","1827719","","","","0"
"2020-06","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","1935937","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","1986260","","","","0"
"2020-08","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2006168","","","","0"
"2020-09","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2024936","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2037235","","","","0"
"2020-11","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2050923","","","","0"
"2020-12","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2056578","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2069959","","","","0"
"2021-02","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2074161","","","","0"
"2021-03","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2095037","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2074294","","","","0"
"2021-05","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2068403","","","","0"
"2021-06","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2086880","","","","0"
"2021-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2101011","","","","0"
"2021-08","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2118070","","","","0"
"2021-09","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2127260","","","","0"
"2021-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2144935","","","","0"
"2021-11","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2156435","","","","0"
"2021-12","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2165059","","","","0"
"2022-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2157548","","","","0"
"2022-02","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2173306","","","","0"
"2022-03","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2188890","","","","0"
"2022-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2187675","","","","0"
"2022-05","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2193450","","","","0"
"2022-06","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2198676","","","","0"
"2022-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2201010","","","","0"
"2022-08","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2206930","","","","0"
"2022-09","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2210482","","","","0"
"2022-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2206747","","","","0"
"2022-11","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2205410","","","","0"
"2022-12","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2198020","","","","0"
"2023-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2219088","","","","0"
"2023-02","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2223989","","","","0"
"2023-03","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2230182","","","","0"
"2023-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2229312","","","","0"
"2023-05","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2231269","","","","0"
"2023-06","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2228073","","","","0"
"2023-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2228857","","","","0"
"2023-08","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2231565","","","","0"
"2023-09","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2230741","","","","0"
"2023-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2234639","","","","0"
"2023-11","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2238191","","","","0"
"2023-12","Canada","2016A000011124","Seasonally adjusted at annual rates","Chained (2017) dollars","All industries [T001]","August 29, 2025","Dollars","81","millions","6","v1775496444","1.1.1.1.127","2234502","","","","0"
