"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2016A000011124","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1598750","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1631005","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1684247","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1730965","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1756074","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1681709","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1777817","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1863319","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1899825","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1143176","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1165235","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1209153","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1241089","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1260212","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1179085","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1248805","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1316947","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","1340909","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","500649","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","510226","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","532147","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","546223","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","550894","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","539653","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","569226","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","578430","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Goods","Dollars","81","millions","6","v62787254","1.1.3","582564","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","144852","","","","0"
"2016","Canada","2016A000011124","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","150164","","","","0"
"2017","Canada","2016A000011124","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","161027","","","","0"
"2018","Canada","2016A000011124","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","165534","","","","0"
"2019","Canada","2016A000011124","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","165793","","","","0"
"2020","Canada","2016A000011124","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","153404","","","","0"
"2021","Canada","2016A000011124","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","168287","","","","0"
"2022","Canada","2016A000011124","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","168569","","","","0"
"2023","Canada","2016A000011124","Chained (2017) dollars","Durable goods","Dollars","81","millions","6","v62787255","1.1.4","173326","","","","0"
"2015","Canada","2016A000011124","Chained (2017) dollars","Semi-durable goods","Dollars","81","millions","6","v62787256","1.1.5","80397","","","","0"
