prod_code,promo_start_date,promo_end_date,promo_price,orig_price
P0002,2022-11-10,2022-11-25,870.88,999.0
P0002,2023-05-19,2023-05-26,606.71,999.0
P0002,2023-09-08,2023-09-20,670.99,999.0
P0003,2023-01-01,2023-01-18,314.72,399.0
P0003,2023-08-30,2023-09-06,248.17,399.0
P0004,2023-04-04,2023-04-21,16.33,25.0
P0005,2022-03-08,2022-03-17,35.23,40.0
P0005,2022-11-19,2022-12-01,26.07,40.0
P0006,2023-03-31,2023-04-10,47.62,60.0
P0006,2023-07-01,2023-07-09,36.53,60.0
P0007,2023-04-27,2023-05-16,71.54,85.0
P0008,2022-02-01,2022-02-14,104.26,150.0
P0008,2022-04-21,2022-05-05,101.49,150.0
P0008,2022-12-02,2022-12-13,91.46,150.0
P0009,2023-10-14,2023-10-24,607.31,800.0
P0010,2022-05-15,2022-06-01,17.22,20.0
P0011,2022-08-25,2022-09-07,26.91,35.0
P0011,2023-02-11,2023-02-20,22.76,35.0
P0012,2022-08-14,2022-08-21,9.75,15.0
P0012,2023-05-15,2023-05-30,9.88,15.0
P0013,2022-06-22,2022-07-02,4.2,5.0
P0013,2023-03-31,2023-04-16,4.49,5.0
P0013,2023-10-07,2023-10-18,3.32,5.0
P0015,2022-07-17,2022-08-02,1.82,2.5
P0015,2022-12-03,2022-12-18,2.15,2.5
P0015,2023-01-31,2023-02-17,2.16,2.5
P0016,2023-04-25,2023-05-07,22.76,30.0
P0017,2022-02-26,2022-03-12,24.94,28.0
P0017,2023-02-14,2023-03-03,21.53,28.0
P0017,2023-07-23,2023-08-06,23.4,28.0
P0018,2022-10-21,2022-10-31,77.28,120.0
P0021,2022-11-09,2022-11-19,65.96,90.0
P0021,2023-09-11,2023-09-17,59.83,90.0
P0021,2023-10-22,2023-11-01,63.06,90.0
P0022,2022-10-19,2022-10-31,169.98,200.0
P0022,2023-08-07,2023-08-19,178.64,200.0
P0025,2023-05-12,2023-05-28,12.44,18.0
P0025,2023-10-12,2023-10-20,13.79,18.0
P0025,2023-11-03,2023-11-16,14.14,18.0
P0028,2023-03-26,2023-04-11,17.41,22.0
P0029,2022-09-05,2022-09-12,8.0,12.0
P0029,2022-12-18,2023-01-06,8.22,12.0
P0029,2023-07-05,2023-07-14,9.18,12.0
P0030,2022-03-11,2022-03-18,11.45,15.0
P0030,2022-07-13,2022-07-30,12.59,15.0
P0030,2023-10-10,2023-10-22,12.12,15.0
