transaction_date,prod_code,store_label,stock_level,qty_sold,qty_ordered,forecasted_demand,unit_price,discount_percent,weather_type,promo_flag,competitor_price,season,revenue
2022-07-10,P0029,S039,50,386,498,324.8,62.5,25,Sunny,0,74.08,Winter,18094.67
2022-08-01,P0013,S032,222,316,479,340.31,39.04,0,Snowy,0,33.83,Spring,12337.2
2022-05-24,P0014,S015,464,0,184,0.0,66.48,5,Cloudy,1,76.86,Winter,0.0
2022-05-16,P0024,S028,422,7,192,6.4,25.27,10,Snowy,0,30.07,Winter,159.21
2022-08-08,P0027,S063,194,200,356,173.32,37.86,15,Rainy,1,44.67,Winter,6435.77
2022-09-08,P0005,S047,458,449,557,396.21,17.45,20,Sunny,1,17.31,Autumn,6267.09
2022-10-10,P0017,S011,390,281,457,342.59,44.28,25,Cloudy,0,37.79,Spring,9332.05
2022-12-24,P0016,S055,55,475,477,511.92,83.16,25,Foggy,1,91.71,Autumn,29626.14
2022-07-24,P0017,S085,127,456,459,416.93,21.62,25,Sunny,1,17.71,Autumn,7395.53
2022-11-02,P0008,S039,203,249,260,300.84,56.83,15,Snowy,0,65.39,Spring,12027.58
2022-03-16,P0017,S047,456,206,384,257.82,80.62,10,Snowy,1,84.11,Summer,14946.97
2022-06-15,P0030,S079,396,434,512,433.25,91.37,0,Cloudy,1,107.8,Winter,39656.44
2022-03-10,P0010,S056,450,329,362,365.32,79.2,0,Cloudy,0,83.43,Winter,26057.65
2022-01-08,P0011,S023,232,335,466,298.46,23.67,0,Sunny,1,23.42,Spring,7929.87
2022-04-02,P0018,S061,171,50,219,44.43,13.68,0,Foggy,0,13.87,Winter,683.91
2022-03-14,P0026,S046,83,432,457,518.27,55.31,10,Sunny,0,55.57,Autumn,21503.58
2022-12-21,P0016,S061,386,25,204,22.62,88.15,0,Cloudy,1,89.25,Summer,2203.68
2022-04-21,P0013,S026,63,186,336,196.39,32.72,10,Snowy,0,32.03,Autumn,5477.22
2022-02-08,P0019,S015,241,472,656,576.01,76.37,0,Cloudy,0,68.22,Spring,36044.97
2022-04-21,P0020,S025,117,393,503,459.19,81.03,5,Sunny,0,77.1,Spring,30250.84
2022-12-31,P0006,S052,331,319,516,351.82,61.37,0,Sunny,0,54.63,Summer,19577.05
2022-06-01,P0023,S004,399,330,384,402.98,17.91,15,Rainy,0,17.27,Winter,5023.72
2022-12-01,P0024,S095,55,321,454,413.3,61.84,20,Rainy,1,67.24,Autumn,15880.48
2022-04-28,P0008,S026,484,172,239,174.19,79.25,0,Sunny,1,80.2,Spring,13631.75
2022-12-22,P0026,S014,369,37,113,39.45,62.31,0,Sunny,0,61.17,Spring,2305.52
2022-11-17,P0023,S010,221,385,447,439.19,39.01,15,Sunny,0,38.59,Summer,12766.63
2022-08-24,P0023,S035,143,94,271,81.04,93.66,15,Rainy,1,81.72,Autumn,7483.24
2022-09-24,P0001,S040,369,405,509,475.98,14.33,15,Snowy,0,12.4,Spring,4932.59
2022-03-30,P0019,S078,459,61,206,73.71,42.29,20,Rainy,0,42.97,Autumn,2063.98
2022-11-05,P0015,S097,202,144,247,131.69,90.96,0,Rainy,0,84.88,Autumn,13098.49
2022-08-19,P0008,S042,497,499,653,595.96,81.46,10,Sunny,0,73.27,Autumn,36584.7
2022-12-19,P0001,S068,135,321,438,388.61,78.62,20,Snowy,0,81.89,Autumn,20189.95
2022-05-10,P0029,S008,310,156,310,174.81,30.63,10,Rainy,0,33.28,Autumn,4300.82
2022-07-19,P0005,S020,60,253,275,260.84,91.76,5,Rainy,0,94.93,Summer,22054.65
2022-12-22,P0018,S089,160,103,170,123.09,88.49,20,Foggy,1,76.19,Winter,7291.67
2022-09-24,P0026,S009,100,28,178,24.12,19.38,15,Foggy,1,22.01,Summer,461.3
2022-05-29,P0023,S057,50,318,492,263.11,38.03,0,Sunny,0,42.41,Summer,12093.53
2022-07-29,P0009,S035,112,243,404,305.99,58.37,20,Rainy,0,68.0,Summer,11346.27
2022-10-12,P0024,S025,229,197,259,184.94,13.05,0,Cloudy,0,13.9,Autumn,2570.68
2022-03-04,P0017,S084,410,176,364,157.03,60.16,20,Sunny,0,57.69,Autumn,8470.17
2022-10-13,P0027,S056,260,317,460,343.13,28.46,0,Cloudy,0,30.9,Summer,9022.63
2022-05-12,P0002,S092,162,113,241,109.29,54.73,15,Rainy,0,49.71,Summer,5256.92
2022-12-15,P0002,S097,136,54,61,43.93,24.05,10,Rainy,0,25.71,Spring,1169.01
2022-04-02,P0008,S054,298,238,245,202.23,61.25,20,Rainy,1,72.14,Summer,11661.98
2022-09-20,P0021,S014,272,310,470,280.22,90.67,0,Rainy,0,104.32,Spring,28107.77
2022-08-22,P0028,S082,51,384,513,376.91,83.57,0,Snowy,1,78.4,Winter,32090.85
2022-12-08,P0030,S009,275,52,159,45.24,36.5,20,Cloudy,0,43.59,Autumn,1518.48
2022-12-25,P0017,S081,63,8,29,9.74,58.75,10,Snowy,0,68.16,Summer,422.98
2022-12-22,P0023,S037,124,325,365,304.53,92.29,0,Sunny,0,92.19,Winter,29993.24
2022-04-08,P0023,S086,76,312,323,348.36,33.98,10,Foggy,0,39.62,Summer,9542.95
2022-11-06,P0021,S092,239,121,227,107.95,47.98,0,Foggy,0,43.1,Spring,5805.97
2022-08-15,P0011,S040,60,163,216,169.2,74.71,0,Foggy,0,67.84,Autumn,12178.4
2022-12-31,P0020,S083,276,243,396,252.02,14.63,5,Sunny,0,15.96,Spring,3376.95
2022-08-17,P0029,S043,153,41,148,47.04,51.37,0,Cloudy,0,47.56,Autumn,2106.22
2022-10-30,P0027,S049,494,16,27,17.14,95.52,5,Rainy,1,107.23,Autumn,1451.92
2022-05-23,P0005,S080,247,199,257,257.47,32.47,5,Foggy,0,26.55,Winter,6138.48
2022-09-27,P0007,S017,456,281,359,322.79,61.12,20,Sunny,0,51.71,Autumn,13738.67
