transaction_date,store_id,product_id,inventory,units_sold,units_ordered,unit_net_price,store_region,store_city,store_cluster,store_size_sqft,category,subcategory,product_launch_date,unit_orig_price,promo_active,promo_price,promo_start_date,promo_end_date,holiday_name,is_holiday,cpi_monthly,gdp_monthly,population_monthly,unemployment_rate_monthly,avg_temperature_c,precipitation_mm,units_sold_lag_1,units_sold_lag_7,units_sold_lag_14,units_sold_lag_30,units_sold_rolling_mean_7,units_sold_rolling_std_7,units_sold_rolling_min_7,units_sold_rolling_max_7,units_sold_rolling_mean_14,units_sold_rolling_std_14,units_sold_rolling_min_14,units_sold_rolling_max_14,units_sold_rolling_mean_30,units_sold_rolling_std_30,units_sold_rolling_min_30,units_sold_rolling_max_30,units_sold_rolling_mean_90,units_sold_rolling_std_90,units_sold_rolling_min_90,units_sold_rolling_max_90,year,month,day,dayofweek,dayofyear,week,quarter,is_weekend,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,discount_pct,promo_duration,promo_intensity,days_to_holiday,days_from_holiday,holiday_type,is_pre_holiday,is_post_holiday,temp_category,precip_category,weather_severity,cpi_change,gdp_change,unemployment_trend,units_sold_x_unit_net_price,units_sold_x_inventory,unit_net_price_x_units_sold,unit_net_price_x_inventory,inventory_x_units_sold,inventory_x_unit_net_price,inventory_poly_2,units_sold_poly_2,units_ordered_poly_2,unit_net_price_poly_2,store_size_sqft_poly_2,unit_orig_price_poly_2,promo_price_poly_2,cpi_monthly_poly_2,gdp_monthly_poly_2,population_monthly_poly_2,unemployment_rate_monthly_poly_2,avg_temperature_c_poly_2,precipitation_mm_poly_2,units_sold_lag_1_poly_2,units_sold_lag_7_poly_2,units_sold_lag_14_poly_2,units_sold_lag_30_poly_2,units_sold_rolling_mean_7_poly_2,units_sold_rolling_std_7_poly_2,units_sold_rolling_min_7_poly_2,units_sold_rolling_max_7_poly_2,units_sold_rolling_mean_14_poly_2,units_sold_rolling_std_14_poly_2,units_sold_rolling_min_14_poly_2,units_sold_rolling_max_14_poly_2,units_sold_rolling_mean_30_poly_2,units_sold_rolling_std_30_poly_2,units_sold_rolling_min_30_poly_2,units_sold_rolling_max_30_poly_2,units_sold_rolling_mean_90_poly_2,units_sold_rolling_std_90_poly_2,units_sold_rolling_min_90_poly_2,units_sold_rolling_max_90_poly_2,year_poly_2,month_poly_2,day_poly_2,dayofweek_poly_2,dayofyear_poly_2,week_poly_2,quarter_poly_2,discount_pct_poly_2,promo_duration_poly_2,promo_intensity_poly_2,days_to_holiday_poly_2,days_from_holiday_poly_2,weather_severity_poly_2,cpi_change_poly_2,gdp_change_poly_2,unemployment_trend_poly_2,units_sold_x_unit_net_price_poly_2,units_sold_x_inventory_poly_2,unit_net_price_x_units_sold_poly_2,unit_net_price_x_inventory_poly_2,inventory_x_units_sold_poly_2,inventory_x_unit_net_price_poly_2
2022-03-11,S009,P0017,337,1,0,23.16,Alberta,Edmonton,Outlet,2678,Sports,Soccer Ball,2022-02-14,28.0,True,24.94,2022-02-26,2022-03-12,,False,156.5,2188890,3565.8,6.3,-2.715040650406504,13.146186440677964,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,2022,3,11,4,70,10,1,False,False,False,False,False,False,False,17.285714285714285,14,2.42,0,0,No Holiday,False,False,Very Cold,Moderate,0.21660573991839946,0.0,0.0,6.3,23.16,337,23.16,7804.92,337,7804.92,113569,1,0,536.3856,7171684,784.0,622.0036000000001,24492.25,4791239432100,12714929.64,39.69,7.371445733359772,172.82221793306513,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,4088484,9,121,16,4900,100,1,298.7959183673469,196,5.8564,0,0,0.04691804656559731,0.0,0.0,39.69,536.3856,113569,536.3856,60916776.2064,113569,60916776.2064
2023-02-20,S040,P0017,159,3,0,21.08,New Brunswick,Montreal,Outlet,5893,Sports,Soccer Ball,2022-02-14,28.0,True,21.53,2023-02-14,2023-03-03,,False,155.6,2223989,680.4,6.2,-8.78,41.972,,,,,3.0,,3.0,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,2023,2,20,0,51,8,1,False,False,False,False,False,False,False,24.71428571428572,17,4.201428571428572,0,0,No Holiday,False,False,Very Cold,Very Heavy,0.20105922610855403,-0.005750798722044759,0.01603506800250365,6.25,63.239999999999995,477,63.239999999999995,3351.72,477,3351.72,25281,9,0,444.36639999999994,34727449,784.0,463.5409,24211.359999999997,4946127072121,462944.16,38.440000000000005,77.0884,1761.6487840000002,,,,,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,4092529,4,400,0,2601,64,1,610.7959183673472,289,17.65200204081633,0,0,0.040424812403370654,3.307168594147163e-05,0.0002571234058449164,39.0625,3999.2975999999994,227529,3999.2975999999994,11234026.958399998,227529,11234026.958399998
2022-07-25,S008,P0030,294,4,0,12.25,British Columbia,Winnipeg,Superstore,9755,Health,First Aid,2021-08-15,15.0,True,12.59,2022-07-13,2022-07-30,,False,147.6,2201010,4447.8,4.6,18.331050228310502,39.997,,,,,4.0,,4.0,4.0,4.0,,4.0,4.0,4.0,,4.0,4.0,4.0,,4.0,4.0,2022,7,25,0,206,30,3,False,False,False,False,False,False,False,18.333333333333332,17,3.1166666666666663,0,0,No Holiday,False,False,Mild,Very Heavy,0.5665793497733668,-0.05141388174807193,-0.01033233527683819,5.7,49.0,1176,49.0,3601.5,1176,3601.5,86436,16,0,150.0625,95160025,225.0,158.50809999999998,21785.76,4844445020100,19782924.84,21.159999999999997,336.02740247284254,1599.760009,,,,,16.0,,16.0,16.0,16.0,,16.0,16.0,16.0,,16.0,16.0,16.0,,16.0,16.0,4088484,49,625,0,42436,900,9,336.1111111111111,289,9.713611111111108,0,0,0.3210121595896111,0.002643387236404724,0.00010675715227299491,32.49,2401.0,1382976,2401.0,12970802.25,1382976,12970802.25
2022-08-26,S094,P0011,314,7,0,26.15,New Brunswick,Victoria,Superstore,7938,Toys,Board Game,2022-04-11,35.0,True,26.91,2022-08-25,2022-09-07,,False,153.6,2206930,671.7,7.0,19.34583333333333,120.82916666666668,,,,,7.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,7.0,7.0,7.0,,7.0,7.0,2022,8,26,4,238,34,3,False,False,False,False,False,False,False,25.28571428571429,13,3.2871428571428574,0,0,No Holiday,False,False,Mild,Very Heavy,0.7690246514577167,0.04065040650406515,0.002689674285895949,5.933333333333333,183.04999999999998,2198,183.04999999999998,8211.1,2198,8211.1,98596,49,0,683.8224999999999,63011844,1225.0,724.1481,23592.96,4870540024900,451180.8900000001,49.0,374.26126736111104,14599.687517361115,,,,,49.0,,49.0,49.0,49.0,,49.0,49.0,49.0,,49.0,49.0,49.0,,49.0,49.0,4088484,64,676,16,56644,1156,9,639.3673469387757,169,10.805308163265307,0,0,0.5913989145496626,0.0016524555489457423,7.2343477642098824e-06,35.204444444444434,33507.30249999999,4831204,33507.30249999999,67422163.21000001,4831204,67422163.21000001
2023-10-19,S093,P0009,309,0,0,578.78,Newfoundland,Victoria,Express,3539,Furniture,Sofa,2021-11-30,800.0,True,607.31,2023-10-14,2023-10-24,,False,160.2,2234639,461.7,10.1,8.172340425531916,122.9921052631579,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,2023,10,19,3,292,42,4,False,False,False,False,False,False,False,27.652500000000003,10,2.7652500000000004,0,0,No Holiday,False,False,Cold,Very Heavy,0.6215272342207743,0.04296875,0.012555450331455997,7.233333333333333,0.0,0,0.0,178843.02,0,178843.02,95481,0,0,334986.28839999996,12524521,640000.0,368825.43609999993,25664.039999999997,4993611460321,213166.88999999998,102.00999999999999,66.78714803078317,15127.057957063713,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,4092529,100,361,9,85264,1764,16,764.6607562500002,100,7.6466075625000025,0,0,0.3862961028781252,0.0018463134765625,0.0001576393330256585,52.321111111111115,0.0,0,0.0,31984825802.720398,0,31984825802.720398
2023-09-09,S009,P0002,113,3,0,632.55,Alberta,Edmonton,Outlet,2678,Electronics,Laptop,2020-11-26,999.0,True,670.99,2023-09-08,2023-09-20,,False,166.0,2230741,3769.2,5.4,12.49758064516129,19.49794238683128,,,,,3.0,,3.0,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,2023,9,9,5,252,36,3,True,False,False,False,False,False,False,36.68168168168169,12,4.401801801801803,0,0,No Holiday,False,False,Mild,Heavy,0.4391123349198591,0.0362047440699127,-0.0017443533385034238,7.5,1897.6499999999999,339,1897.6499999999999,71478.15,339,71478.15,12769,9,0,400119.50249999994,7171684,998001.0,450227.5801,27556.0,4976205409081,14206868.639999999,29.160000000000004,156.1895219823101,380.1697573201919,,,,,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,4092529,81,81,25,63504,1296,9,1345.545770996222,144,19.375859102345597,0,0,0.19281964267877053,0.0013107834931678785,3.04276856954804e-06,56.25,3601075.5224999995,114921,3601075.5224999995,5109125927.422499,114921,5109125927.422499
2022-10-28,S005,P0018,353,2,0,75.24,Saskatchewan,Vancouver,Superstore,9110,Sports,Tennis Racket,2022-10-22,120.0,True,77.28,2022-10-21,2022-10-31,,False,157.8,2206747,900.1,4.9,5.958227848101266,13.45,,,,,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2022,10,28,4,301,43,4,False,False,False,False,False,False,False,37.300000000000004,10,3.7300000000000004,0,0,No Holiday,False,False,Cold,Moderate,0.3357245876835075,-0.04939759036144575,-0.010756067154367055,6.8,150.48,706,150.48,26559.719999999998,706,26559.719999999998,124609,4,0,5661.057599999999,82992100,14400.0,5972.1984,24900.840000000004,4869732322009,810180.01,24.010000000000005,35.50047908988944,180.90249999999997,,,,,4.0,,4.0,4.0,4.0,,4.0,4.0,4.0,,4.0,4.0,4.0,,4.0,4.0,4088484,100,784,16,90601,1849,16,1391.2900000000004,100,13.912900000000004,0,0,0.11271099877526111,0.0024401219335171984,0.0001156929806292538,46.239999999999995,22644.230399999997,498436,22644.230399999997,705418726.4783999,498436,705418726.4783999
2023-08-01,S005,P0017,260,3,0,22.18,Saskatchewan,Vancouver,Superstore,9110,Sports,Soccer Ball,2022-02-14,28.0,True,23.4,2023-07-23,2023-08-06,,False,161.6,2231565,920.7,5.3,17.74736842105263,50.22162162162162,,,,,3.0,,3.0,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,2023,8,1,1,213,31,3,False,True,False,False,False,False,False,20.78571428571429,14,2.9100000000000006,0,0,No Holiday,False,False,Mild,Very Heavy,0.5824660281401908,0.024081115335867986,0.011246418370569833,5.2,66.53999999999999,780,66.53999999999999,5766.8,780,5766.8,67600,9,0,491.9524,82992100,784.0,547.56,26114.559999999998,4979882349225,847688.4900000001,28.09,314.96908587257616,2522.2112783053326,,,,,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,4092529,64,1,1,45369,961,9,432.04591836734704,196,8.468100000000003,0,0,0.3392666739374095,0.0005799001158193763,0.00012648192616589063,27.040000000000003,4427.571599999999,608400,4427.571599999999,33255982.240000002,608400,33255982.240000002
2023-11-07,S017,P0025,139,4,0,13.86,Ontario,Victoria,Mall,2291,Beauty,Lipstick,2022-12-12,18.0,True,14.14,2023-11-03,2023-11-16,,False,160.6,2238191,13100.3,6.0,0.093167701863354,42.147333333333336,,,,,4.0,,4.0,4.0,4.0,,4.0,4.0,4.0,,4.0,4.0,4.0,,4.0,4.0,2023,11,7,1,311,45,4,False,False,False,False,False,False,False,23.000000000000004,13,2.9900000000000007,0,0,No Holiday,True,False,Cold,Very Heavy,0.3226073967816918,-0.006188118811881194,0.0029692166708117362,5.3999999999999995,55.44,556,55.44,1926.54,556,1926.54,19321,16,0,192.09959999999998,5248681,324.0,199.9396,25792.359999999997,5009498952481,171617860.08999997,36.0,0.008680220670498817,1776.3977071111112,,,,,16.0,,16.0,16.0,16.0,,16.0,16.0,16.0,,16.0,16.0,16.0,,16.0,16.0,4092529,121,49,1,96721,2025,16,529.0000000000001,169,8.940100000000005,0,0,0.10407553245825994,3.8292814429957914e-05,8.816247638226331e-06,29.159999999999993,3073.5935999999997,309136,3073.5935999999997,3711556.3715999997,309136,3711556.3715999997
2023-07-04,S066,P0006,114,3,0,36.18,Nova Scotia,Edmonton,Flagship,8004,Clothing,Dress,2020-10-03,60.0,True,36.53,2023-07-01,2023-07-09,Good Friday,True,162.1,2228857,878.4,7.6,20.289583333333333,186.35789473684213,,,,,3.0,,3.0,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,2023,7,4,1,185,27,3,False,False,False,False,False,False,False,39.7,8,3.176,0,0,Good Friday,False,False,Warm,Very Heavy,0.9347954221720123,0.009339975093399788,-0.004170332201317906,6.3,108.53999999999999,342,108.53999999999999,4124.5199999999995,342,4124.5199999999995,12996,9,0,1308.9924,64064016,3600.0,1334.4409,26276.41,4967803526449,771586.5599999999,57.76,411.6671918402778,34729.26493074793,,,,,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,9.0,9.0,4092529,49,16,1,34225,729,9,1576.0900000000001,64,10.086976000000002,0,0,0.8738424813137506,8.723513474532838e-05,1.739167066934905e-05,39.69,11780.931599999998,116964,11780.931599999998,17011665.230399996,116964,17011665.230399996
