date,product_id,store_id,is_holiday,holiday_name,is_retail_holiday,school_holiday_flag,unit_net_price,units_sold,promotional_price,promotion_active,promotion_start_date,promotion_end_date,category,subcategory,product_launch_date,unit_orig_price,is_seasonal_product,seasonal_peak_months,store_cluster,store_size_sqft,store_city,store_state,store_country,store_region,beginning_inventory,units_ordered,avg_temperature_c,precipitation_mm,unemployment_rate_monthly,population_monthly,cpi_monthly,gdp_monthly
2022-07-10,P0029,S039,,,,,62.5,386,25,0,,,,,,,,Winter,,,,,,,50,498,,,,,,
2022-08-01,P0013,S032,,,,,39.04,316,0,0,,,Groceries,Cereal,2021-01-22,5.0,,Spring,,,,,,,222,479,,,,,,
2022-05-24,P0014,S015,,,,,66.48,0,5,1,,,Groceries,Milk,2020-08-29,3.0,,Winter,,1663.0,Edmonton,,,Newfoundland,464,184,,,,,,
2022-05-16,P0024,S028,,,,,25.27,7,10,0,,,,,,,,Winter,,,,,,,422,192,,,,,,
2022-08-08,P0027,S063,,,,,37.86,200,15,1,,,,,,,,Winter,,,,,,,194,356,,,,,,
2022-09-08,P0005,S047,,,,,17.45,449,20,1,2022-03-08,2022-03-17,Clothing,Pants,2022-03-16,40.0,,Autumn,,,,,,,458,557,,,,,,
2022-09-08,P0005,S047,,,,,17.45,449,20,1,2022-11-19,2022-12-01,Clothing,Pants,2022-03-16,40.0,,Autumn,,,,,,,458,557,,,,,,
2022-10-10,P0017,S011,,,,,44.28,281,25,0,,,Sports,Soccer Ball,2022-02-14,28.0,,Spring,,3693.0,Victoria,,,Quebec,390,457,,,,,,
2022-12-24,P0016,S055,,,,,83.16,475,25,1,,,Sports,Basketball,2022-08-13,30.0,,Autumn,,,,,,,55,477,,,,,,
2022-07-24,P0017,S085,,,,,21.62,456,25,1,,,Sports,Soccer Ball,2022-02-14,28.0,,Autumn,,,,,,,127,459,,,,,,
2022-11-02,P0008,S039,,,,,56.83,249,15,0,2022-02-01,2022-02-14,Furniture,Table,2021-04-19,150.0,,Spring,,,,,,,203,260,,,,,,
2022-11-02,P0008,S039,,,,,56.83,249,15,0,2022-04-21,2022-05-05,Furniture,Table,2021-04-19,150.0,,Spring,,,,,,,203,260,,,,,,
2022-11-02,P0008,S039,,,,,56.83,249,15,0,2022-12-02,2022-12-13,Furniture,Table,2021-04-19,150.0,,Spring,,,,,,,203,260,,,,,,
2022-03-16,P0017,S047,,,,,80.62,206,10,1,,,Sports,Soccer Ball,2022-02-14,28.0,,Summer,,,,,,,456,384,,,,,,
2022-06-15,P0030,S079,,,,,91.37,434,0,1,,,,,,,,Winter,,,,,,,396,512,,,,,,
2022-03-10,P0010,S056,,,,,79.2,329,0,0,2022-05-15,2022-06-01,Toys,Action Figure,2022-08-15,20.0,,Winter,,,,,,,450,362,,,,,,
2022-01-08,P0011,S023,,,,,23.67,335,0,1,2022-08-25,2022-09-07,Toys,Board Game,2022-04-11,35.0,,Spring,,,,,,,232,466,,,,,,
2022-01-08,P0011,S023,,,,,23.67,335,0,1,2023-02-11,2023-02-20,Toys,Board Game,2022-04-11,35.0,,Spring,,,,,,,232,466,,,,,,
2022-04-02,P0018,S061,,,,,13.68,50,0,0,,,Sports,Tennis Racket,2022-10-22,120.0,,Winter,,,,,,,171,219,,,,,,
2022-03-14,P0026,S046,,,,,55.31,432,10,0,,,,,,,,Autumn,,,,,,,83,457,,,,,,
2022-12-21,P0016,S061,,,,,88.15,25,0,1,,,Sports,Basketball,2022-08-13,30.0,,Summer,,,,,,,386,204,,,,,,
2022-04-21,P0013,S026,,,,,32.72,186,10,0,,,Groceries,Cereal,2021-01-22,5.0,,Autumn,,,,,,,63,336,,,,,,
2022-02-08,P0019,S015,,,,,76.37,472,0,0,,,Books,Fiction,2021-12-03,12.0,,Spring,,1663.0,Edmonton,,,Newfoundland,241,656,,,,,,
2022-04-21,P0020,S025,,,,,81.03,393,5,0,,,Books,Non-Fiction,2020-06-10,18.0,,Spring,,,,,,,117,503,,,,,,
