date,store_region,population_monthly
2015-01,Canada,35571043
2015-04,Canada,35606734
2015-07,Canada,35704498
2015-10,Canada,35823591
2016-01,Canada,35871484
2016-04,Canada,35970407
2016-07,Canada,36110803
2016-10,Canada,36257421
2017-01,Canada,36313068
2017-04,Canada,36397141
2017-07,Canada,36545075
2017-10,Canada,36722075
2018-01,Canada,36801579
2018-04,Canada,36903671
2018-07,Canada,37072620
2018-10,Canada,37259485
2019-01,Canada,37336956
2019-04,Canada,37437243
2019-07,Canada,37618495
2019-10,Canada,37828162
