date,is_holiday,holiday_name
01/01/2022,1,New Year's Day
15/04/2022,1,Good Friday
23/05/2022,1,Victoria Day
01/07/2022,1,Canada Day
05/09/2022,1,Labour Day
30/09/2022,1,National Day for Truth and Reconciliation
10/10/2022,1,Thanksgiving Day
11/11/2022,1,Remembrance Day
25/12/2022,1,Christmas Day
26/12/2022,1,Boxing Day
01/01/2023,1,New Year's Day
07/04/2023,1,Good Friday
22/05/2023,1,Victoria Day
01/07/2023,1,Canada Day
04/09/2023,1,Labour Day
30/09/2023,1,National Day for Truth and Reconciliation
09/10/2023,1,Thanksgiving Day
11/11/2023,1,Remembrance Day
25/12/2023,1,Christmas Day
26/12/2023,1,Boxing Day
