product_id,promotion_start_date,promotion_end_date,promotional_price,unit_orig_price
P0002,2022-11-10,2022-11-25,870.88,999.0
P0002,2023-05-19,2023-05-26,606.71,999.0
P0002,2023-09-08,2023-09-20,670.99,999.0
P0003,2023-01-01,2023-01-18,314.72,399.0
P0003,2023-08-30,2023-09-06,248.17,399.0
P0004,2023-04-04,2023-04-21,16.33,25.0
P0005,2022-03-08,2022-03-17,35.23,40.0
P0005,2022-11-19,2022-12-01,26.07,40.0
P0006,2023-03-31,2023-04-10,47.62,60.0
P0006,2023-07-01,2023-07-09,36.53,60.0
P0007,2023-04-27,2023-05-16,71.54,85.0
P0008,2022-02-01,2022-02-14,104.26,150.0
P0008,2022-04-21,2022-05-05,101.49,150.0
P0008,2022-12-02,2022-12-13,91.46,150.0
P0009,2023-10-14,2023-10-24,607.31,800.0
P0010,2022-05-15,2022-06-01,17.22,20.0
P0011,2022-08-25,2022-09-07,26.91,35.0
P0011,2023-02-11,2023-02-20,22.76,35.0
P0012,2022-08-14,2022-08-21,9.75,15.0
P0012,2023-05-15,2023-05-30,9.88,15.0
