date,product_id,store_id,unit_net_price,units_sold,units_ordered,beginning_inventory,promotion_active,promotional_price,seasonal_peak_months
2022-07-10,P0029,S039,62.5,386,498,50,0,25,Winter
2022-08-01,P0013,S032,39.04,316,479,222,0,0,Spring
2022-05-24,P0014,S015,66.48,0,184,464,1,5,Winter
2022-05-16,P0024,S028,25.27,7,192,422,0,10,Winter
2022-08-08,P0027,S063,37.86,200,356,194,1,15,Winter
2022-09-08,P0005,S047,17.45,449,557,458,1,20,Autumn
2022-10-10,P0017,S011,44.28,281,457,390,0,25,Spring
2022-12-24,P0016,S055,83.16,475,477,55,1,25,Autumn
2022-07-24,P0017,S085,21.62,456,459,127,1,25,Autumn
2022-11-02,P0008,S039,56.83,249,260,203,0,15,Spring
2022-03-16,P0017,S047,80.62,206,384,456,1,10,Summer
2022-06-15,P0030,S079,91.37,434,512,396,1,0,Winter
2022-03-10,P0010,S056,79.2,329,362,450,0,0,Winter
2022-01-08,P0011,S023,23.67,335,466,232,1,0,Spring
2022-04-02,P0018,S061,13.68,50,219,171,0,0,Winter
2022-03-14,P0026,S046,55.31,432,457,83,0,10,Autumn
2022-12-21,P0016,S061,88.15,25,204,386,1,0,Summer
2022-04-21,P0013,S026,32.72,186,336,63,0,10,Autumn
2022-02-08,P0019,S015,76.37,472,656,241,0,0,Spring
2022-04-21,P0020,S025,81.03,393,503,117,0,5,Spring
