iter	RMSE
0	7.576430891
1	7.133849815
2	6.762496308
3	6.35037973
4	5.950606236
5	5.533171995
6	5.277600153
7	4.933333672
8	4.60667724
9	4.333959029
10	4.133051411
11	3.945030537
12	3.723219267
13	3.537520749
14	3.387836156
15	3.203315627
16	3.035132152
17	2.873841529
18	2.771843603
19	2.634622478
20	2.497477947
21	2.360117365
22	2.272567915
23	2.179393799
24	2.083307464
25	1.981210108
26	1.896422635
27	1.830663279
28	1.775586917
29	1.709663664
30	1.654622224
31	1.595245236
32	1.522925753
33	1.472368909
34	1.419824931
35	1.373028828
36	1.325755518
37	1.271660897
38	1.223267327
39	1.184573387
40	1.147909846
41	1.121761407
42	1.089359142
43	1.069048415
44	1.03748334
45	1.016907982
46	0.9887883076
47	0.9576584666
48	0.9319274847
49	0.9169047304
50	0.8967859872
51	0.8771881366
52	0.8624233947
53	0.8444180157
54	0.8149167154
55	0.7968551925
56	0.7782832312
57	0.7631658073
58	0.7492860403
59	0.7335653265
60	0.721411111
61	0.7015483763
62	0.681188764
63	0.665199641
64	0.652639434
65	0.6331528752
66	0.6216546707
67	0.6029275903
68	0.5920849469
69	0.5801779718
70	0.5647682729
71	0.5536669395
72	0.5435371133
73	0.5295262457
74	0.5126810275
75	0.5034216778
76	0.4866242042
77	0.4780671173
78	0.4700106491
79	0.4555755377
80	0.4472644834
81	0.4320506253
82	0.4248049641
83	0.4173923175
84	0.4101486238
85	0.3975699541
86	0.3907785612
87	0.3830720253
88	0.3707054988
89	0.3638163925
90	0.357634457
91	0.3464661229
92	0.340673206
93	0.3350863939
94	0.3241474294
95	0.3190311308
96	0.3105544447
97	0.3047058056
98	0.2959185714
99	0.2904458152
