iter	Passed	Remaining
0	74	7417
1	75	3684
2	76	2471
3	77	1859
4	78	1492
5	79	1237
6	80	1065
7	80	926
8	80	816
9	81	735
10	82	670
11	83	615
12	85	570
13	86	531
14	88	499
15	89	471
16	91	447
17	93	426
18	94	404
19	95	383
20	97	365
21	98	350
22	100	335
23	101	322
24	103	310
25	104	297
26	105	286
27	106	274
28	108	264
29	109	255
30	110	246
31	112	238
32	113	230
33	114	222
34	115	215
35	117	208
36	118	201
37	119	195
38	121	189
39	122	183
40	124	179
41	125	172
42	126	167
43	127	161
44	128	156
45	128	150
46	129	146
47	131	142
48	132	137
49	133	133
50	134	128
51	135	125
52	136	120
53	137	117
54	138	113
55	139	109
56	141	106
57	142	103
58	143	99
59	144	96
60	146	93
61	147	90
62	148	87
63	149	84
64	150	81
65	151	78
66	152	75
67	154	72
68	155	69
69	156	67
70	157	64
71	157	61
72	159	58
73	160	56
74	161	53
75	161	51
76	162	48
77	163	46
78	164	43
79	166	41
80	166	39
81	167	36
82	168	34
83	169	32
84	170	30
85	171	27
86	172	25
87	173	23
88	174	21
89	175	19
90	176	17
91	177	15
92	177	13
93	178	11
94	179	9
95	180	7
96	181	5
97	182	3
98	183	1
99	184	0
